position	13-A-B	14-A-B	15-E-B	16-E-B	10-A-P	11-E-P	12-E-P
3575000	1.038	1.224	0.752	0.937	0.149	0.074	0.378
3580000	1.124	1.298	0.8	1.016	0.415	0.177	0.702
3585000	1.164	1.359	0.836	1.059	0.362	0.158	0.635
3590000	1.116	1.289	0.804	1.005	0.519	0.227	0.853
3595000	1.091	1.259	0.789	1.004	0.523	0.222	0.802
3600000	1.018	1.2	0.752	0.938	0.273	0.127	0.506
3605000	1.014	1.172	0.745	0.922	0.291	0.14	0.548
3610000	1.073	1.257	0.791	1	0.401	0.116	0.53
3615000	1.078	1.267	0.785	0.984	1.577	0.295	1.264
3620000	1.13	1.288	0.807	1.03	1.574	0.295	1.275
3625000	1.127	1.267	0.794	1.032	1.561	0.287	1.253
3630000	1.107	1.238	0.779	0.999	1.263	0.212	0.935
3635000	1.222	1.396	0.863	1.069	0.083	0.034	0.207
3640000	1.259	1.486	0.891	1.12	0.087	0.037	0.223
3645000	1.268	1.518	0.894	1.121	0.101	0.05	0.274
3650000	1.288	1.519	0.895	1.136	0.237	0.066	0.321
3655000	1.155	1.362	0.811	1.04	0.888	0.084	0.42
3660000	1.094	1.248	0.767	0.96	0.888	0.079	0.393
3665000	1.039	1.17	0.726	0.901	0.867	0.062	0.319
3670000	1.007	1.179	0.72	0.888	0.73	0.056	0.304
3675000	1.061	1.23	0.754	0.936	0.065	0.038	0.217
3680000	1.119	1.334	0.8	1.008	0.06	0.038	0.211
3685000	1.165	1.374	0.845	1.054	0.066	0.035	0.21
3690000	1.115	1.307	0.813	1.021	0.067	0.03	0.18
3695000	0.992	1.151	0.821	1.047	0.065	0.026	0.147
3700000	0.83	0.952	0.776	0.975	0.053	0.023	0.135
3705000	0.7	0.8	0.744	0.963	0.049	0.033	0.173
3710000	0.638	0.703	0.774	0.992	0.045	0.029	0.158
3715000	0.547	0.578	0.833	1.032	0.039	0.04	0.18
3720000	0.466	0.465	0.814	0.983	0.037	0.043	0.181
3725000	0.429	0.411	0.762	0.909	0.029	0.033	0.137
3730000	0.475	0.432	0.807	0.989	0.04	0.035	0.13
3735000	0.528	0.5	0.692	0.876	0.055	0.031	0.118
3740000	0.69	0.676	0.799	1.052	0.063	0.029	0.123
3745000	0.774	0.76	0.907	1.185	0.068	0.03	0.129
3750000	0.755	0.759	0.894	1.142	0.055	0.021	0.106
3755000	0.749	0.782	0.897	1.14	0.043	0.014	0.087
3760000	0.686	0.75	0.829	1.038	0.039	0.013	0.085
3765000	0.609	0.694	0.745	0.918	0.034	0.009	0.067
3770000	0.563	0.676	0.716	0.884	0.041	0.009	0.065
3775000	0.541	0.663	0.719	0.893	0.045	0.024	0.113
3780000	0.518	0.656	0.737	0.938	0.05	0.03	0.127
3785000	0.493	0.612	0.7	0.907	0.049	0.031	0.136
3790000	0.484	0.586	0.669	0.87	0.04	0.033	0.147
3795000	0.497	0.568	0.647	0.835	0.036	0.017	0.096
3800000	0.52	0.585	0.642	0.819	0.031	0.013	0.086
3805000	0.583	0.674	0.731	0.931	0.035	0.015	0.097
3810000	0.6	0.688	0.74	0.943	0.096	0.021	0.128
3815000	0.619	0.722	0.76	0.96	0.122	0.047	0.304
3820000	0.677	0.746	0.783	0.958	0.181	0.079	0.468
3825000	0.644	0.719	0.649	0.782	0.199	0.084	0.481
3830000	0.618	0.695	0.567	0.68	0.157	0.096	0.505
3835000	0.591	0.658	0.525	0.652	0.131	0.072	0.338
3840000	0.543	0.634	0.505	0.648	0.073	0.04	0.173
3845000	0.583	0.652	0.634	0.799	0.053	0.034	0.15
3850000	0.615	0.72	0.739	0.93	0.031	0.011	0.071
3855000	0.638	0.747	0.78	0.956	0.029	0.008	0.058
3860000	0.62	0.71	0.74	0.927	0.059	0.05	0.182
3865000	0.668	0.756	0.753	0.935	0.134	0.151	0.481
3870000	0.688	0.753	0.782	0.976	0.137	0.152	0.487
3875000	0.698	0.766	0.803	1.026	0.144	0.156	0.509
3880000	0.724	0.804	0.856	1.085	0.117	0.118	0.399
3885000	0.682	0.784	0.852	1.11	0.059	0.035	0.194
3890000	0.678	0.754	0.824	1.076	0.085	0.08	0.369
3895000	0.648	0.712	0.771	0.999	0.082	0.09	0.402
3900000	0.615	0.68	0.724	0.947	0.08	0.095	0.409
3905000	0.628	0.691	0.747	0.955	0.068	0.078	0.322
3910000	0.526	0.58	0.625	0.802	0.036	0.033	0.139
3915000	0.42	0.466	0.501	0.644	0.027	0.017	0.075
3920000	0.373	0.406	0.442	0.548	0.022	0.008	0.043
3925000	0.19	0.194	0.216	0.271	0.009	0.003	0.019
3930000	0.166	0.164	0.183	0.231	0.008	0.003	0.018
3935000	0.32	0.348	0.367	0.48	0.018	0.005	0.032
3940000	0.436	0.469	0.511	0.677	0.033	0.015	0.089
3945000	0.577	0.629	0.692	0.923	0.057	0.032	0.164
3950000	0.656	0.748	0.815	1.076	0.066	0.037	0.185
3955000	0.672	0.731	0.834	1.091	0.07	0.039	0.188
3960000	0.623	0.687	0.783	1.023	0.064	0.031	0.145
3965000	0.636	0.71	0.794	1.031	0.053	0.021	0.1
3970000	0.681	0.763	0.839	1.088	0.056	0.019	0.105
3975000	0.663	0.777	0.824	1.059	0.051	0.018	0.103
3980000	0.66	0.775	0.811	1.038	0.056	0.02	0.106
3985000	0.628	0.749	0.78	0.968	0.047	0.015	0.085
3990000	0.596	0.684	0.732	0.908	0.044	0.015	0.086
3995000	0.619	0.718	0.757	0.949	0.069	0.027	0.141
4000000	0.615	0.726	0.767	0.948	0.064	0.028	0.145
4005000	0.647	0.749	0.796	0.984	0.091	0.054	0.263
4010000	0.709	0.812	0.829	1.019	0.217	0.273	0.814
4015000	0.649	0.716	0.752	0.917	0.189	0.264	0.772
4020000	0.645	0.686	0.721	0.9	0.215	0.292	0.868
4025000	0.642	0.648	0.707	0.894	0.222	0.31	0.876
4030000	0.606	0.616	0.713	0.887	0.094	0.093	0.33
4035000	0.628	0.606	0.775	0.97	0.161	0.151	0.541
4040000	0.64	0.617	0.829	0.999	0.218	0.165	0.621
4045000	0.618	0.616	0.818	0.976	0.186	0.122	0.509
4050000	0.611	0.609	0.803	0.975	0.187	0.121	0.504
4055000	0.64	0.696	0.815	0.981	0.126	0.063	0.293
4060000	0.657	0.731	0.814	1.02	0.042	0.015	0.099
4065000	0.695	0.776	0.855	1.086	0.055	0.027	0.166
4070000	0.695	0.751	0.834	1.063	0.057	0.089	0.352
4075000	0.649	0.68	0.772	0.979	0.05	0.087	0.343
4080000	0.585	0.617	0.699	0.861	0.049	0.091	0.366
4085000	0.654	0.668	0.75	0.892	0.254	0.269	0.522
4090000	0.682	0.733	0.8	0.969	0.253	0.205	0.329
4095000	0.731	0.779	0.857	1.04	0.255	0.205	0.333
4100000	0.82	0.865	0.951	1.187	0.304	0.236	0.485
4105000	0.727	0.795	0.868	1.113	0.114	0.075	0.378
4110000	0.694	0.78	0.845	1.068	0.12	0.084	0.424
4115000	0.635	0.745	0.781	1.001	0.123	0.09	0.44
4120000	0.584	0.681	0.727	0.931	0.075	0.06	0.29
4125000	0.558	0.645	0.704	0.909	0.048	0.034	0.19
4130000	0.581	0.664	0.736	0.934	0.042	0.027	0.152
4135000	0.632	0.726	0.796	0.997	0.047	0.031	0.183
4140000	0.615	0.733	0.78	0.964	0.044	0.029	0.177
4145000	0.637	0.761	0.797	1.001	0.047	0.032	0.196
4150000	0.622	0.72	0.771	0.991	0.053	0.04	0.233
4155000	0.594	0.677	0.736	0.971	0.049	0.037	0.209
4160000	0.586	0.666	0.733	0.966	0.05	0.037	0.199
4165000	0.61	0.689	0.763	1.008	0.048	0.032	0.172
4170000	0.592	0.698	0.748	0.982	0.044	0.024	0.132
4175000	0.614	0.739	0.811	1.049	0.809	0.271	1.003
4180000	0.622	0.749	0.829	1.099	0.82	0.275	1.035
4185000	0.619	0.752	0.839	1.104	0.823	0.28	1.057
4190000	0.635	0.758	0.863	1.165	0.821	0.28	1.06
4195000	0.63	0.733	0.834	1.148	0.057	0.029	0.177
